Date,Open,High,Low,Close,Adj Close,Volume
2016-08-01,84.970001,87.139999,84.290001,86.699997,68.573677,249130500
2016-09-01,86.400002,87.290001,85.269997,87.260002,69.327492,267984500
2016-10-01,86.820000,87.559998,85.930000,86.019997,68.636009,224938000
2016-11-01,85.680000,86.220001,83.239998,85.650002,68.644432,341614200
2016-12-01,85.279999,86.839996,84.870003,86.550003,69.678421,224706300
2017-01-01,86.879997,87.690002,86.699997,87.339996,70.862778,201509200
2017-02-01,87.199997,88.370003,86.949997,88.290001,71.633560,169609900
2017-03-01,88.180000,88.309998,85.989998,87.779999,71.532639,332865400
2017-04-01,87.459999,88.239998,87.160004,88.120003,72.123383,175172800
2017-05-01,87.750000,88.750000,87.349998,88.650002,72.866814,228119000
2017-06-01,88.360001,88.750000,87.519997,88.389999,72.963600,280437500
2017-07-01,88.010002,89.040001,87.449997,88.910004,73.706284,219065700
2017-08-01,88.610001,88.720001,87.110001,88.599998,73.763908,261431400
2017-09-01,88.150002,88.760002,87.790001,88.760002,74.204262,162635300
2017-10-01,88.260002,88.739998,88.190002,88.470001,74.271996,171361000
2017-11-01,88.180000,88.199997,86.220001,87.779999,73.997009,311678600
2017-12-01,87.419998,87.610001,86.870003,87.260002,73.864250,209091500
2018-01-01,87.300003,88.029999,87.139999,87.300003,74.521156,306108300
2018-02-01,86.860001,86.989998,84.070000,86.180000,73.565102,412769800
2018-03-01,85.910004,86.129997,84.820000,85.639999,73.411942,279286000
2018-04-01,85.120003,86.660004,84.889999,85.699997,73.755173,295498900
2018-05-01,85.279999,85.839996,85.160004,85.379997,73.780464,309234400
2018-06-01,85.150002,86.190002,85.059998,85.080002,73.833931,246757900
2018-07-01,84.639999,86.150002,84.599998,86.120003,75.074112,225773600
2018-08-01,85.760002,86.459999,85.669998,86.360001,75.622002,228409200
2018-09-01,85.889999,86.470001,85.629997,86.440002,76.015984,259185300
2018-10-01,86.160004,86.309998,83.989998,84.349998,74.498047,522013300
2018-11-01,84.089996,85.080002,82.699997,83.599998,74.169434,510126700
2018-12-01,83.650002,83.830002,79.550003,81.099998,72.307198,534682400
2019-01-01,80.720001,85.239998,80.650002,85.110001,76.587730,576068200
2019-02-01,84.660004,85.870003,84.540001,85.750000,77.163628,357424300
2019-03-01,85.550003,86.529999,84.809998,86.470001,78.168816,420004900
2019-04-01,86.209999,87.040001,85.940002,86.940002,78.945389,313966800
2019-05-01,86.589996,86.870003,84.879997,84.900002,77.432350,521292500
2019-06-01,84.650002,87.650002,84.470001,87.180000,79.847954,492462100
2019-07-01,87.129997,87.389999,86.510002,86.930000,79.982635,368026900
2019-08-01,86.550003,87.410004,85.349998,87.160004,80.550896,505635900
2019-09-01,86.720001,87.540001,86.389999,87.169998,80.901695,377682400
2019-10-01,86.839996,87.440002,85.750000,86.809998,80.911972,396229800
2019-11-01,86.589996,87.150002,86.269997,86.940002,81.359818,304457600
2019-12-01,86.629997,88.250000,86.239998,87.940002,82.639297,369221000
2020-01-01,88.099998,88.529999,86.959999,87.529999,82.872894,487063200
2020-02-01,87.330002,88.489998,84.690002,86.040001,81.462166,669460200
2020-03-01,85.639999,87.190002,67.519997,77.070000,73.275833,1247288000
2020-04-01,75.180000,84.050003,73.320000,80.430000,76.809639,746268500
2020-05-01,79.339996,82.620003,77.980003,82.419998,79.105225,502363900
2020-06-01,81.940002,85.029999,80.480003,81.620003,78.698479,777532200
2020-07-01,81.410004,85.400002,81.410004,85.389999,82.655426,506068800
2020-08-01,85.029999,85.400002,83.919998,85.029999,82.654327,378535900
2020-09-01,84.709999,85.389999,82.559998,83.900002,81.882881,632308000
2020-10-01,83.809998,85.470001,83.269997,83.879997,82.192993,636570500
2020-11-01,83.779999,86.900002,83.379997,86.320000,84.945351,633192800
2020-12-01,86.250000,87.339996,86.150002,87.300003,86.279022,501321800
2021-01-01,87.400002,87.620003,86.790001,86.970001,86.652000,643424300
2021-02-01,86.809998,87.650002,86.660004,87.519997,87.199982,139888200
2021-02-08,87.589996,87.779999,87.559998,87.779999,87.779999,16322444
